"energy","liveness","tempo","speechiness","acousticness","danceability","duration_ms","loudness"
0.647,0.119,109.879,0.343,0.0872,0.477,252307,-4.657
0.767,0.181,181.818,0.261,0.12,0.659,200717,-3.016
0.568,0.108,136.173,0.142,0.0541,0.795,198944,-7.817
0.514,0.151,127.027,0.096,0.0987,0.716,230606,-6.471
0.599,0.0951,138.024,0.238,0.07,0.923,181739,-4.888
0.229,0.0867,82.603,0.0539,0.853,0.579,225776,-12.225
0.743,0.3,89.974,0.0409,0.255,0.49,258827,-5.155
0.477,0.114,93.44,0.276,0.0962,0.747,245227,-11.062
0.735,0.151,107.979,0.0978,0.0161,0.635,244440,-5.872
0.448,0.106,93.035,0.211,0.0588,0.925,198347,-6.997
0.645,0.201,84.925,0.19,0.0362,0.687,218480,-8.38
0.69,0.238,122.006,0.04,0.0865,0.786,195561,-4.665
0.631,0.0858,104.999,0.0444,0.102,0.803,216575,-4.213
0.571,0.153,103.521,0.2,0.0173,0.916,183695,-8.241
0.772,0.0721,92.007,0.0358,0.395,0.659,180360,-5.594
0.509,0.211,112.972,0.096,0.0783,0.922,316320,-7.637
0.791,0.0526,95.04,0.053,0.023,0.689,210573,-5.194
0.623,0.219,140.171,0.13,0.00287,0.686,219759,-3.425
0.701,0.108,162.958,0.146,0.0114,0.632,215414,-5.921
0.563,0.515,113.121,0.052,0.126,0.717,135920,-4.406
0.664,0.0575,186.394,0.102,0.166,0.336,199315,-5.68
0.659,0.266,76.483,0.0309,0.0284,0.514,200040,-6.142
0.331,0.146,143.974,0.0725,0.337,0.722,313547,-7.789
0.476,0.112,146.052,0.032,0.138,0.606,225693,-6.577
0.309,0.152,147.71,0.0557,0.622,0.67,281426,-10.269
0.534,0.0919,91.974,0.0946,0.0752,0.725,219320,-6.238
0.554,0.125,119.725,0.0556,0.467,0.529,234910,-5.427
0.661,0.087,78.132,0.0333,0.361,0.526,196960,-3.828
0.694,0.479,123.822,0.1,0.0963,0.934,181240,-5.849
0.721,0.0632,93.981,0.0401,0.224,0.814,188080,-4.998
0.489,0.386,119.816,0.0611,0.313,0.728,237300,-5.868
0.414,0.0854,193.549,0.37,0.0298,0.563,235652,-11.409
0.637,0.0602,169.977,0.141,0.0462,0.734,202333,-5.677
0.741,0.0753,106.366,0.298,0.0229,0.519,198213,-4.015
